"record_key","dataset","dataset_order","row_in_dataset","名称","建筑类型","朝代","建造年代","地理位置","建造者","自然科学成就","姓名","生卒年","籍贯","身份","主要贡献","科学家精神","书名","作者","成书年代","著作类别","内容概要","学术价值","文化元素","文化类别","起源朝代","核心描述","文化内涵与传承","补充说明","简介"
"中国古代建筑成就_卢沟桥_012","中国古代建筑成就","1","12","卢沟桥","桥梁","金","1192年","北京丰台","金朝","北京现存最古老的联拱石桥，11孔联拱结构，各孔净跨径和矢高均不相等，边孔小中孔大，结构合理；桥栏石狮雕刻精美，形态各异","","","","","","","","","","","","","","","","","","","华北地区著名古桥，以联拱结构和石狮雕刻著称。"
"中国古代建筑成就_广济桥_013","中国古代建筑成就","1","13","广济桥","桥梁","宋","1228年","广东潮州","曾汪等","世界最早的启闭式桥梁，集梁桥、浮桥、拱桥于一体，十八梭船廿四洲的独特构造，中段浮桥可开可合，兼顾交通与通航","","","","","","","","","","","","","","","","","","","潮州古桥代表，以梁桥、拱桥、浮桥结合的形式闻名。"
"中国古代建筑成就_宝带桥_014","中国古代建筑成就","1","14","宝带桥","桥梁","唐","819年","江苏苏州","王仲舒","中国现存最长多孔石桥，53孔联拱结构，首次采用柔性墩与刚性墩结合的薄型墩式，适应江南水网环境","","","","","","","","","","","","","","","","","","","江南多孔长桥的典型实例，展现唐代石桥营造水平。"
"中国古代建筑成就_安平桥_015","中国古代建筑成就","1","15","安平桥","桥梁","南宋","1152年","福建晋江","黄护倡建","中世纪世界最长跨海梁式石桥，全长2255米，采用睡木沉基法奠基，桥身全用花岗岩砌筑，历经800余年两次8级地震仍稳固","","","","","","","","","","","","","","","","","","","中国古代超长石梁桥代表，是泉州海丝交通的重要遗存。"
"中国古代建筑成就_灞桥_016","中国古代建筑成就","1","16","灞桥","桥梁","春秋","前658年","陕西西安","秦穆公","中国历史上最早的多孔石拱桥之一，始建于春秋时期，隋唐时为全国11座大型桥梁之一","","","","","","","","","","","","","","","","","","","中国历史记忆中极具代表性的古桥，兼具交通与文化意象。"
"中国古代建筑成就_江东桥_017","中国古代建筑成就","1","17","江东桥","桥梁","南宋","1237年","福建漳州","李韶","世界最大最重构件石梁桥，单根石梁最长23.7米，最重200余吨，展现古代巨型石构件运输与安装技术","","","","","","","","","","","","","","","","","","","大型石梁桥代表，以巨型石构件运输和架设技术见长。"
"中国古代建筑成就_泸定桥_018","中国古代建筑成就","1","18","泸定桥","桥梁","清","1706年","四川泸定","康熙帝","中国古代铁索桥代表，13根铁链横跨大渡河，铁链每根重约1.6吨，体现古代冶金和悬索桥梁技术","","","","","","","","","","","","","","","","","","","清代铁索桥典范，是西南山区交通工程的代表。"
"中国古代建筑成就_北京四合院_019","中国古代建筑成就","1","19","北京四合院","民居","元明清","元代始建","北京","民间工匠","合院式民居典范，采用中轴对称布局，南北朝向，庭院采光通风科学合理；抬梁式木构架体系，结构稳固抗震","","","","","","","","","","","","","","","","","","","北方合院式民居代表，集中体现礼序与家族生活方式。"
"中国古代建筑成就_福建土楼_020","中国古代建筑成就","1","20","福建土楼","民居","明清","明代始建","福建龙岩、漳州","客家先民","大型夯土民居建筑，采用夯土墙与木构架结合，墙体底部厚达1.5米以上，兼具防御与居住功能；圆形或方形布局利于抗震抗风","","","","","","","","","","","","","","","","","","","客家大型聚族民居代表，兼具居住、防御和社区组织功能。"
"中国古代建筑成就_陕西窑洞_021","中国古代建筑成就","1","21","陕西窑洞","民居","远古至明清","前2000年","陕西、甘肃、山西","民间工匠","利用黄土层保温隔热特性建造，冬暖夏凉，节能环保；有靠崖式、下沉式和独立式三种类型，体现因地制宜建造智慧","","","","","","","","","","","","","","","","","","","黄土高原传统民居代表，体现顺应地貌与气候的营造智慧。"
"中国古代建筑成就_皖南徽派民居宏村_022","中国古代建筑成就","1","22","皖南徽派民居（宏村）","民居","明清","明代始建","安徽黄山","徽商","徽派民居典范，马头墙兼具防火防风功能；水系规划科学，牛形村落布局，人工水系贯穿全村，解决生活用水与消防需求","","","","","","","","","","","","","","","","","","","徽派民居与村落水系规划结合的典型代表。"
"中国古代建筑成就_湘西吊脚楼_023","中国古代建筑成就","1","23","湘西吊脚楼","民居","明清","明代始建","湖南湘西","苗族土家族先民","干栏式建筑代表，底层架空防潮防洪，上层居住；穿斗式木构架，灵活适应山地地形，体现南方湿热地区建筑智慧","","","","","","","","","","","","","","","","","","","南方山地干栏式民居代表，适应潮湿与坡地环境。"
"中国古代建筑成就_开平碉楼_024","中国古代建筑成就","1","24","开平碉楼","民居","清","清代始建","广东开平","华侨","中西合璧防御性民居，融合中国传统夯土技术与西方建筑元素，多层塔楼式结构兼具防御与居住功能","","","","","","","","","","","","","","","","","","","近代华侨民居与防御建筑结合的代表，体现中西合璧特征。"
"中国古代建筑成就_云南一颗印_025","中国古代建筑成就","1","25","云南一颗印","民居","明清","明代始建","云南昆明","民间工匠","合院式民居，平面布局方正如印，适应云南高原气候；正房与厢房围合形成封闭院落，防风防晒","","","","","","","","","","","","","","","","","","","云南高原合院民居代表，以方整紧凑布局著称。"
"中国古代建筑成就_晋中王家大院_026","中国古代建筑成就","1","26","晋中王家大院","民居","清","清代始建","山西灵石","王氏家族","清代民居集大成者，院落层层递进，空间序列严谨；砖雕木雕石雕三雕艺术精湛，体现晋商文化与建筑技艺","","","","","","","","","","","","","","","","","","","晋商大宅代表，反映清代北方民居空间秩序与装饰艺术。"
"中国古代建筑成就_乔家大院_027","中国古代建筑成就","1","27","乔家大院","民居","清","1756年","山西祁县","乔氏家族","晋商民居代表，6个大院19个小院313间房屋；全封闭城堡式建筑群，体现清代商宅建筑规制与装饰艺术","","","","","","","","","","","","","","","","","","","清代晋商宅院代表，是研究商宅格局与家族制度的重要实例。"
"中国古代建筑成就_南阳府衙_028","中国古代建筑成就","1","28","南阳府衙","官府","元明清","1271年","河南南阳","元朝","中国保存最完整的府级官署建筑群，沿中轴线五进院落布局，体现古代官署建筑礼制规范","","","","","","","","","","","","","","","","","","","保存较完整的古代府署建筑群，体现官署礼制空间。"
"中国古代建筑成就_淮安府署_029","中国古代建筑成就","1","29","淮安府署","官府","宋元明清","1170年","江苏淮安","南宋始建","中国现存体量最大、保存最完整的明清府级官署建筑，占地超2万平方米，沿250米中轴线五进院落，融合南北建筑精髓","","","","","","","","","","","","","","","","","","","明清府级官署代表，规模宏大，保存较为系统。"
"中国古代建筑成就_内乡县衙_030","中国古代建筑成就","1","30","内乡县衙","官府","元至清","1304年","河南内乡","元代始建","中国保存最完整的县级官署建筑群，被誉为天下第一衙；四合院式布局，严格遵循古代官署建筑等级制度","","","","","","","","","","","","","","","","","","","中国保存最完整的古代县衙之一，是研究基层官署的重要样本。"
"中国古代建筑成就_浮梁县衙_031","中国古代建筑成就","1","31","浮梁县衙","官府","唐至清","唐代始建","江西浮梁","唐代始建","江南保存较好的古代县衙，五进院落布局，体现江南官署建筑特色","","","","","","","","","","","","","","","","","","","江南地区古代县衙代表，反映地方官署的延续与演变。"
"中国古代建筑成就_叶县县衙_032","中国古代建筑成就","1","32","叶县县衙","官府","明","1368年","河南叶县","明代","中国现存唯一的明代县衙建筑，体现明代官署建筑规制","","","","","","","","","","","","","","","","","","","现存明代县衙代表，对研究明代官署制度价值突出。"
"中国古代建筑成就_临晋县衙_033","中国古代建筑成就","1","33","临晋县衙","官府","元","1271年","山西临猗","元代","中国现存较早的元代官署建筑，对研究元代官署形制具有重要价值","","","","","","","","","","","","","","","","","","","元代官署建筑遗存的重要实例，具有较高史料价值。"
"中国古代建筑成就_绥远城将军衙署_034","中国古代建筑成就","1","34","绥远城将军衙署","官府","清","1737年","内蒙古呼和浩特","清代","清代一品封疆大吏官邸规格建造，为清代八旗驻防城主体建筑，体现清代军事衙署建筑特色","","","","","","","","","","","","","","","","","","","清代边疆驻防将军衙署代表，体现军事与行政合一特征。"
"中国古代建筑成就_保定直隶总督署_035","中国古代建筑成就","1","35","保定直隶总督署","官府","清","1730年","河北保定","清代","中国保存最完整的清代省级衙署，严格中轴对称布局，体现清代官署建筑最高等级","","","","","","","","","","","","","","","","","","","清代省级衙署代表，是研究督抚制度的重要建筑遗存。"
"中国古代建筑成就_霍州署_036","中国古代建筑成就","1","36","霍州署","官府","元明清","1271年","山西霍州","元代始建","中国现存较完整的州级官署建筑，元明清三代建筑风格并存，对研究古代州署建筑演变具有重要价值","","","","","","","","","","","","","","","","","","","元明清连续沿用的州署建筑群，见证官署形制演变。"
"中国古代建筑成就_密县县衙_037","中国古代建筑成就","1","37","密县县衙","官府","隋唐至清","581年","河南新密","隋代始建","历史悠久的县级官署，隋唐至清代延续使用，体现古代县衙建筑形制演变","","","","","","","","","","","","","","","","","","","延续使用时间较长的县衙建筑，反映多时期官署发展脉络。"
"中国古代建筑成就_万里长城_038","中国古代建筑成就","1","38","万里长城","城防工程","春秋战国至明","前7世纪始建，明代大规模修筑","中国北方多省","历代王朝与军民","世界规模最大的线性防御工程，因山就势构筑城墙、敌台、烽燧和关堡体系，体现古代测绘、夯土、砖石砌筑与军事工程综合能力","","","","","","","","","","","","","","","","","","","中国古代最具标志性的防御工程体系，绵延范围极广。"
"中国古代建筑成就_都江堰_039","中国古代建筑成就","1","39","都江堰","水利工程","秦","前256年","四川都江堰","李冰父子","世界现存最早仍在使用的无坝引水工程，以鱼嘴、飞沙堰、宝瓶口三大主体协同分水排沙，体现古代水工测算与河道治理智慧","","","","","","","","","","","","","","","","","","","中国古代水利工程杰作，至今仍持续发挥灌溉与分洪作用。"
"中国古代建筑成就_应县木塔_040","中国古代建筑成就","1","40","应县木塔","塔楼","辽","1056年","山西应县","辽代工匠","世界现存最高最古老的纯木结构楼阁式塔，通高67.31米，采用斗拱与暗层结构协同受力，展现高层木构营造技术巅峰","","","","","","","","","","","","","","","","","","","世界现存最高最古老的纯木结构楼阁式塔。"
"中国古代建筑成就_苏州园林_041","中国古代建筑成就","1","41","苏州园林","园林","春秋至明清","春秋始创，明清鼎盛","江苏苏州","历代文人、园林匠师","中国古典园林代表，以借景、对景、框景等手法组织空间，在有限场地中营造山水层次，体现精密的空间经营与生态营造智慧","","","","","","","","","","","","","","","","","","","中国古典私家园林的集中代表，体现精细的造园艺术。"
"中国古代建筑科学家_鲁班_001","中国古代建筑科学家","2","1","","","春秋","","","","","鲁班","前507年—前444年","山东曲阜","工匠、发明家","发明卯榫结构，奠定中国木构建筑基础；发明曲尺、墨斗、锯子、刨子、钻子等木工工具，被后世尊为工匠祖师","勇于创新、精益求精的工匠精神；从实践中总结规律，发明创造造福民众","","","","","","","","","","","","","中国古代工匠文化的代表人物，长期被尊为土木营造与木作技艺的开创者。"
"中国古代建筑科学家_宇文恺_002","中国古代建筑科学家","2","2","","","隋","","","","","宇文恺","555年—612年","陕西西安","城市规划家、建筑工程师","主持规划修建隋大兴城（唐长安城），面积达84平方千米，是当时世界最大城市；主持规划东都洛阳城；设计观风行殿（可移动宫殿）；首创木模型和设计图审核制度","严谨求实的科学态度，动工前先做木模型和设计图审核；勇于创新，设计可移动宫殿","","","","","","","","","","","","","隋代都城规划与大型宫殿工程的关键人物，对后世长安、洛阳城市格局影响深远。"
"中国古代建筑科学家_李春_003","中国古代建筑科学家","2","3","","","隋","","","","","李春","生卒年不详（约6世纪末-7世纪初）","河北（推测）","桥梁工匠","设计建造赵州桥，首创敞肩拱结构，比欧洲早700年；大跨度低弧线设计，主拱跨度37.02米；28道独立拱券并列砌筑技术增强抗震性","勇于挑战技术难题，首创敞肩拱结构；注重实践验证，赵州桥历经1400余年仍屹立不倒","","","","","","","","","","","","","中国古代桥梁工艺代表人物，以赵州桥奠定早期石拱桥技术高峰。"
"中国古代建筑科学家_阎立德_004","中国古代建筑科学家","2","4","","","唐","","","","","阎立德","?-656年","陕西西安","建筑家、工艺美术家","督造翠微宫、玉华宫；营建唐昭陵；主持修筑长安城外郭和城楼；将建筑设计与工艺美术相结合","博学多才，将建筑、绘画、工艺美术融会贯通；追求卓越，注重建筑的艺术性与实用性统一","","","","","","","","","","","","","唐代兼具建筑与工艺美术才能的重要营造人物，推动宫苑与陵寝建设。"
"中国古代建筑科学家_喻皓_005","中国古代建筑科学家","2","5","","","五代末北宋初","","","","","喻皓","生卒年不详（约10世纪）","浙江杭州","建筑工匠、建筑理论家","擅长建造高层木塔，建造开封开宝寺塔和杭州梵天寺塔；顺应自然风力设计塔身微倾以抵抗风力；著《木经》，中国第一部建筑专著","刻苦钻研，从贫苦木匠成长为建筑大师；顺应自然的智慧，以风力修正塔身倾斜；著书立说传承技艺","","","","","","","","","","","","","早期木构建筑理论与实践并重的工匠代表，《木经》作者。"
"中国古代建筑科学家_李诫_006","中国古代建筑科学家","2","6","","","宋","","","","","李诫","1035年—1110年","河南郑州","建筑学家","编修《营造法式》，中国古代最完善的土木建筑工程著作；全书34卷，系统记录13个工种制度；主持修建朱雀门、开封府廨、太庙等十余项重大工程","系统总结建筑知识，编修《营造法式》惠及后世；注重实践与理论结合，深入工匠中收集经验","","","","","","","","","","","","","宋代官式建筑制度的系统整理者，《营造法式》奠定后世营造规范基础。"
"中国古代建筑科学家_刘秉忠_007","中国古代建筑科学家","2","7","","","元","","","","","刘秉忠","1216年—1274年","河北邢台","政治家、城市规划师","规划元大都，奠定北京城市雏形；设计独特、规划科学、布局合理，中轴对称布局影响至今","高瞻远瞩的规划视野，元大都规划影响至今；科学严谨的设计方法，中轴对称布局合理有序","","","","","","","","","","","","","元大都规划的核心人物之一，对北京城市格局的形成影响极大。"
"中国古代建筑科学家_蒯祥_008","中国古代建筑科学家","2","8","","","明","","","","","蒯祥","1397年—1481年","江苏苏州","建筑大师","参与设计建造天安门城楼；主持皇宫前三殿、长陵等重大皇室工程；被誉为国朝第一木匠，香山帮鼻祖；精通建筑图样设计，可徒手绘制精准图样","勤学苦练，12岁学艺16岁主持大型工程；技艺精湛，徒手绘制精准图样；传承发展香山帮建筑技艺","","","","","","","","","","","","","明代皇家建筑大师，北京宫殿与陵寝工程的重要设计营造者。"
"中国古代建筑科学家_徐杲_009","中国古代建筑科学家","2","9","","","明","","","","","徐杲","生卒年不详（约16世纪）","不详","木工大师、工部尚书","从贫苦木工做到二品工部尚书，在古代匠人中独一份；主持重建故宫三大殿，工期短质量高","凭借真才实学从底层匠人做到工部尚书；临危受命主持重建三大殿，工期短质量高","","","","","","","","","","","","","明代由木工成长为工部重臣的典型人物，以主持重建故宫三大殿著称。"
"中国古代建筑科学家_雷发达_010","中国古代建筑科学家","2","10","","","清","","","","","雷发达","1619年—1693年","江西建昌","皇家建筑师","清代样式雷家族创始人，被康熙赏识；参与故宫、颐和园等皇家建筑设计；发明烫样（建筑模型），比3D模型早数百年","精益求精的工匠精神，八代传承皇家建筑设计；创新发明烫样技术，直观展示设计效果","","","","","","","","","","","","","清代皇家建筑世家“样式雷”奠基人物，推动烫样与皇家工程营造传承。"
"中国古代建筑科学家_郭安兴_011","中国古代建筑科学家","2","11","","","北魏","","","","","郭安兴","生卒年不详（约6世纪）","不详","建筑师","建造北魏景明寺和永宁寺，以巨大体量和高度木结构建成，在中国乃至世界建筑史上都是奇迹","挑战建筑极限，建造超高层木结构建筑；追求建筑与技术的完美结合","","","","","","","","","","","","","北魏大型佛寺木塔营造的代表人物，体现早期高层木构技术能力。"
"中国古代建筑科学家_萧何_012","中国古代建筑科学家","2","12","","","西汉","","","","","萧何","?-前193年","江苏丰县","政治家、建筑规划者","主持建造未央宫和建章宫，提出非壮丽无以重威的建筑思想；未央宫周长14千米，体现汉代建筑规划思想","非壮丽无以重威的建筑理念，以建筑彰显国家威严；远见卓识，为后世留下宏伟建筑遗产","","","","","","","","","","","","","西汉初期宫城规划的重要主持者，对未央宫等宫殿布局影响深远。"
"中国古代建筑科学家_杨城延_013","中国古代建筑科学家","2","13","","","西汉","","","","","杨城延","生卒年不详（约前3世纪）","不详","建筑工程师","主持规划西汉长安城，负责未央宫和建章宫技术工作；开创汉代宫殿建筑技术体系","注重工程技术与艺术审美的统一；开创汉代宫殿建筑技术体系","","","","","","","","","","","","","西汉长安城与宫殿技术体系的重要参与者，体现早期都城营建水平。"
"中国古代建筑科学家_蒙恬_014","中国古代建筑科学家","2","14","","","秦","","","","","蒙恬","?-前210年","山东蒙阴","军事家、长城修筑者","主持修筑秦长城，因地形用制险塞，工程浩大技术合理；修筑直道，沟通南北交通","因地形用制险塞，因地制宜的工程智慧；坚韧不拔的意志，完成浩大工程","","","","","","","","","","","","","秦代大型军事工程组织者，长城与直道建设反映综合工程治理能力。"
"中国古代建筑科学家_张志纯_015","中国古代建筑科学家","2","15","","","元","","","","","张志纯","生卒年不详（约13世纪）","山东泰安","建筑师","新建和重建泰山上数十座道教建筑群；设计监修南天门，建筑风格充满道家元素，与环境相融合","建筑与环境和谐统一的设计理念；道家自然思想融入建筑设计","","","","","","","","","","","","","元代山岳建筑营造代表人物，善于处理建筑与自然环境关系。"
"中国古代建筑科学家_蔡襄_016","中国古代建筑科学家","2","16","","","宋","","","","","蔡襄","1012年—1067年","福建仙游","政治家、桥梁建造者","主持建造洛阳桥（万安桥），首创筏形基础、种蛎固础和浮运悬机架桥三大技术；亲撰万安桥记","勇于创新，首创三大桥梁技术；亲力亲为，亲撰桥记记录工程细节；为民造福的担当精神","","","","","","","","","","","","","宋代跨海桥梁建设的代表人物，洛阳桥工程体现制度与技术结合。"
"中国古代建筑科学家_雷金玉_017","中国古代建筑科学家","2","17","","","清","","","","","雷金玉","?-1691年","江苏南京","皇家建筑师","样式雷家族第二代传人，参与圆明园等皇家建筑设计制作烫样","传承与创新并重，发展烫样技术；家族八代坚守建筑事业","","","","","","","","","","","","","样式雷家族第二代传人，延续清代皇家建筑模型与设计传统。"
"中国古代建筑科学家_姬旦周公_018","中国古代建筑科学家","2","18","","","西周","","","","","姬旦（周公）","?-约前1105年","陕西岐山","政治家、都城规划师","主持营造洛邑都城，体现卓越都城规划思想；任用弥牟为建造师，开创中国官方建筑师制度","高瞻远瞩的都城规划思想；礼制与建筑结合，开创中国官方建筑制度","","","","","","","","","","","","","西周礼制与都城规划思想的重要代表，对早期城市制度影响深远。"
"中国古代建筑著作_考工记_001","中国古代建筑著作","3","1","","","春秋战国","","","","","","","","","","","《考工记》","佚名（齐国人）","约前5世纪","城市设计规范","记述百工制度，包括攻木之工、攻金之工、攻皮之工等六大门类30个工种；匠人篇详细描述王城规划制度：匠人营国方九里旁三门，国中九经九轨，左祖右社面朝后市","中国第一部工科巨著，是中国古代城市设计和建造理论的经典著作，也是工业生产各工种设计规范和制造工艺的重要文献；匠人营国制度影响中国都城规划两千余年","","","","","","","中国现存最早系统论述工官制度与都城规划原则的先秦典籍。"
"中国古代建筑著作_营造法式_002","中国古代建筑著作","3","2","","","宋","","","","","","","","","","","《营造法式》","李诫","1100年成书，1103年刊行","建筑设计施工规范","全书34卷，分释名、制度、功限、料例和图样五部分；记录壕寨、石作、大木作、小木作、雕作、旋作、锯作、竹作、瓦作、泥作、彩画作、砖作、窑作13个工种制度；规定劳动定额和用料定额","中国现存最早、内容最完整的建筑学著作，被誉为中国古代建筑百科全书；系统记录北宋官式建筑做法，上承隋唐下启明清，对研究中国古代建筑技术发展具有重要意义","","","","","","","中国古代官式建筑制度化程度最高的规范总汇。"
"中国古代建筑著作_木经_003","中国古代建筑著作","3","3","","","宋","","","","","","","","","","","《木经》","喻皓","约10世纪末","建筑技术专著","中国第一部建筑专著，记录木构建筑的设计与施工方法；原书已失传，沈括梦溪笔谈中保存部分内容；分为上中下三卷，论述建筑尺度与比例关系","中国历史上第一部建筑专著，在营造法式问世之前被工匠奉为营造经典著作；虽已失传，但通过沈括梦溪笔谈流传部分内容，对后世建筑理论发展有重要影响","","","","","","","早期木构营造理论代表著作，虽已失传仍深刻影响后世。"
"中国古代建筑著作_园冶_004","中国古代建筑著作","3","4","","","明","","","","","","","","","","","《园冶》","计成","1631年成书，1634年刊行","园林设计理论","全书三卷，分为兴造论、园说及相地、立基、铺地、掇山、选石、借景等部分；系统论述园林设计原则：虽由人作宛自天开；提出借景、障景等造园手法","中国乃至世界最早的园林学专著，系统总结江南园林设计理论与手法；虽在国内一度失传，但在日本广为流传，影响日本造园艺术发展","","","","","","","中国首部系统论述造园艺术与方法的园林理论专著。"
"中国古代建筑著作_工程做法则例_005","中国古代建筑著作","3","5","","","清","","","","","","","","","","","《工程做法则例》","清工部","1734年刊行","建筑设计施工规范","全书74卷，分诸作做法与用料用工两大部分；列举27种单体房座的大木做法，其中23例大式建筑4例小式建筑；严格贯穿模数制，建立以斗口为模数的清式建筑模数体系","继宋代营造法式之后中国第二部重要的建筑规范著作，是清代官式建筑通行的标准设计规范；建立以斗口为模数的清式建筑模数体系，对研究清代建筑技术至关重要","","","","","","","清代官式建筑设计、用料与估工的标准依据。"
"中国古代建筑著作_长物志_006","中国古代建筑著作","3","6","","","明","","","","","","","","","","","《长物志》","文震亨","约1620年代","园林设计理论","全书十二卷，分室庐、花木、水石、禽鱼、书画、几榻、器具、衣饰、舟车、位置、蔬果、香茗十二类；系统论述居室与园林的设计美学","中国古代居室与园林美学的重要著作，系统论述居室、庭园、花木、水石等设计美学，反映明代文人的审美趣味和生活理念","","","","","","","明代文人论述居室陈设与园林审美的重要著作。"
"中国古代建筑著作_鲁班经_007","中国古代建筑著作","3","7","","","明","","","","","","","","","","","《鲁班经》","佚名（民间匠师）","明代中后期","建筑技术专著","民间匠师建筑手册，记录房屋建造的尺寸规制、施工方法、风水禁忌等；包含大量图样和口诀，是民间建筑技艺的集大成者","中国古代民间建筑技术的重要文献，记录民间匠师的建筑经验和技术诀窍，是研究中国古代民间建筑技术的珍贵资料","","","","","","","反映民间匠师营造经验、尺度观念与操作口诀的实用手册。"
"中国古代建筑著作_匠人_008","中国古代建筑著作","3","8","","","西周","","","","","","","","","","","《匠人》","佚名","约前11世纪","城市设计规范","记述西周王城规划制度，匠人营国方九里旁三门；规定都城中轴线布局、道路宽度、建筑间距等；左祖右社面朝后市的布局原则","中国最早的城市规划文献，匠人营国方九里旁三门的都城制度影响深远，左祖右社面朝后市的布局原则沿用至明清","","","","","","","先秦都城规划思想与礼制空间秩序的重要文本。"
"中国古代建筑著作_梓人传_009","中国古代建筑著作","3","9","","","唐","","","","","","","","","","","《梓人传》","柳宗元","约9世纪初","建筑技术专著","柳宗元为建筑匠师杨潜作传，阐述匠师设计建筑的全过程；论述建筑设计的统筹规划思想，将建筑匠师比作宰相治国","唐代文学家柳宗元论述建筑匠师的重要文章，阐述匠师的社会价值和建筑理念，是中国古代建筑思想的重要文献","","","","","","","以传记形式阐发匠师统筹设计作用的建筑思想名篇。"
"中国古代建筑著作_水经注_010","中国古代建筑著作","3","10","","","北魏","","","","","","","","","","","《水经注》","郦道元","约6世纪初","建筑技术专著","记述全国河流水道及沿岸地理、建筑、桥梁等；详细记录各地桥梁的位置、结构、建造年代等信息","中国古代地理名著，详细记录各地桥梁建筑，是研究古代桥梁技术的重要文献","","","","","","","保存大量桥梁、城邑与水系建筑资料的地理文献巨著。"
