姓名,朝代,生卒年,籍贯,身份,主要贡献,科学家精神,简介
蒯祥,明,1398年-1481年,南直隶吴县（今江苏苏州）,工匠,蒯祥（1398年-1481年)，字廷瑞，吴县（今江苏苏州）香山人，系出蒯氏襄阳支，中国明代建筑工匠，香山帮匠人的鼻祖，被称为“蒯鲁班”,精益求精，注重实践积累与技艺传承,蒯祥（1398年-1481年)，字廷瑞，吴县（今江苏苏州）香山人，系出蒯氏襄阳支，中国明代建筑工匠，香山帮匠人的鼻祖，被称为“蒯鲁班”。蒯祥祖父蒯思明、父亲蒯福均为技艺精湛的木匠。在祖、父两辈的熏陶下，蒯祥造诣颇深，年轻时就有“巧木匠”之称。洪武初年，明太祖朱元璋征召天下工匠兴…
雷金玉,清,1659—1729年,乃清代建筑世家样式雷的第二代传,工匠,康熙帝在“沃野平畴、澄波远岫”的海淀修建皇家园囿———畅春园，内务府营造司从包衣上三旗抽调众多工匠营建皇苑，雷金玉被召进建园工匠队伍，承领楠木作工程,严谨求实，重视规划、设计与实践结合,雷金玉（1659—1729年），字良生，祖籍江西南康府建昌县（今永修县），乃清代建筑世家样式雷的第二代传人。他继承父业在营造所供职，并投充内务府包衣旗（相当于皇室的家奴）。康熙帝在“沃野平畴、澄波远岫”的海淀修建皇家园囿———畅春园，内务府营造司从包衣上三旗抽调众多工匠营建皇苑…
将作监,宋,,,桥梁工匠,崇宁年间将作监李诫主持编修《营造法式》，规范营造制度,严谨求实，重视规划、设计与实践结合,将作监为中国古代官署名，秦始置将作，北齐改称将作寺，隋开皇二十年（600年）更名将作监，唐宋沿袭。其职掌宫室建筑、城郭桥梁营造及金玉珠翠、犀象宝贝、精美器皿制作与纱罗缎匹刺绣等器物打造，下设左校、右校、中校、甄官四署，唐代增设百工等监。主官设将作大匠（监）、少匠（少监）及丞、主…
云梯,唐,,,园林设计家,云梯是古代战争及现代消防、施工领域的重要器械工具，同时在园林建筑中作为山石布置的组成部分,精益求精，注重实践积累与技艺传承,云梯是古代战争及现代消防、施工领域的重要器械工具，同时在园林建筑中作为山石布置的组成部分。古代云梯春秋时期由鲁班改良，战国时期配备车轮、梯身和钩具，唐代增设活动副梯，宋代改进为折叠结构并加装防盾、绞车等器具。近代战争中，云梯曾被用于突破城墙防御作战。现代云梯消防车设有液压升高平…
圆明园,清,,,园林设计家,圆明园（Yuanmingyuan Imperial Garden）坐落在北京西郊，与颐和园毗邻，由圆明园、长春园和绮春园组成，所以也叫圆明三园,精益求精，注重实践积累与技艺传承,圆明园（Yuanmingyuan Imperial Garden）坐落在北京西郊，与颐和园毗邻，由圆明园、长春园和绮春园组成，所以也叫圆明三园。此外，还有许多小园，分布在圆明园东、西、南三面，众星拱月般环绕在圆明园周围。圆明园是清代著名的皇家园林之一，面积五千二百余亩，一百五十…
颐和园,清,,,园林设计家,它是以昆明湖、万寿山为基址，以杭州西湖为蓝本，汲取江南园林的设计手法而建成的一座大型山水园林，也是保存最完整的一座皇家行宫御苑，被誉为“皇家园林博物馆”，也是国家重点旅游景点,严谨求实，重视规划、设计与实践结合,颐和园，中国清朝时期皇家园林，前身为清漪园，坐落在北京西郊，距城区十五公里，占地约二百九十公顷，与圆明园毗邻。它是以昆明湖、万寿山为基址，以杭州西湖为蓝本，汲取江南园林的设计手法而建成的一座大型山水园林，也是保存最完整的一座皇家行宫御苑，被誉为“皇家园林博物馆”，也是国家重点旅…
样式房,清,,,建筑人物,样式房是清代的皇家建筑样式的专门设计机构，所有的皇家建筑和大型建筑都要经过他们的设计与监管施工，它在清代皇家建筑体系中具有举足轻重的地位，相当于现在的建筑设计院,严谨求实，重视规划、设计与实践结合,样式房是清代的皇家建筑样式的专门设计机构，所有的皇家建筑和大型建筑都要经过他们的设计与监管施工，它在清代皇家建筑体系中具有举足轻重的地位，相当于现在的建筑设计院。
辛亥革命,清,1911年至1912年,新军工程第八营的革命党,建筑人物,辛亥革命，是指发生于中国农历辛亥年（清宣统三年），即公元1911年至1912年初，旨在推翻清朝专制帝制、建立共和政体的全国性革命,精益求精，注重实践积累与技艺传承,辛亥革命，是指发生于中国农历辛亥年（清宣统三年），即公元1911年至1912年初，旨在推翻清朝专制帝制、建立共和政体的全国性革命。狭义的辛亥革命，指的是自1911年10月10日（农历八月十九）夜武昌起义爆发，至1912年元旦孙文就职中华民国临时大总统前后这一段时间中国所发生的革…
福建省,唐,,是著名革命老区、中华,建筑人物,福建省，简称“闽”,精益求精，注重实践积累与技艺传承,福建省，简称“闽”。是著名革命老区、中华人民共和国省级行政区。省会福州市，地处中国东南沿海，东北与浙江省毗邻，西北与江西省接界，西南与广东省相连，东南隔台湾海峡与台湾省相望；全省地势西北高，东南低，呈依山傍海态势，境内山地、丘陵面积约占全省总面积的90%；属亚热带季风气候；全省…
工部尚书,唐,,,建筑人物,工部尚书是中国古代工部的最高行政长官，始置于隋开皇二年，为六部（吏、户、礼、兵、刑、工）之一,精益求精，注重实践积累与技艺传承,工部尚书是中国古代工部的最高行政长官，始置于隋开皇二年，为六部（吏、户、礼、兵、刑、工）之一。其职能涵盖全国工程营造、水利建设、屯田管理及官办手工业等事务，唐代具体分管工部司、屯田司、虞部司、水部司四司。明代该官职定为正二品，清代升为从一品。隋代确立工部尚书建制，唐代承袭并完善…
阎立本,唐,601年～673年,雍州万年（今陕西省西安临潼县）,建筑人物,阎立本（约601年～673年）， 唐代画家，官至宰相，汉族，雍州万年（今陕西省西安临潼县）人，出身贵族，北周武帝宇文邕的外孙,精益求精，注重实践积累与技艺传承,阎立本（约601年～673年）， 唐代画家，官至宰相，汉族，雍州万年（今陕西省西安临潼县）人，出身贵族，北周武帝宇文邕的外孙。其父是石保县公阎毗北周时为驸马，其母是北周武帝之女清都公主。因为阎擅长工艺，多巧思，工篆隶书，对绘画、建筑都很擅长，隋文帝和隋炀帝均爱其才艺。入隋后官至…
营缮所,明,,主管,桥梁工匠,营缮所为中国古代营造工程管理机构，宋朝始置，宋徽宗政和末置营缮所，专掌营缮之事并管辖官田、公田，主管人员为内侍，后并入西城所,精益求精，注重实践积累与技艺传承,营缮所为中国古代营造工程管理机构，宋朝始置，宋徽宗政和末置营缮所，专掌营缮之事并管辖官田、公田，主管人员为内侍，后并入西城所。明初工部设将作司，洪武二十五年（1392年）改置为营缮所，隶属工部四清吏司体系，承担南京城内外衙署、皇陵、庙宇、桥梁等营建修缮工程。单士元指出，将作司改…
畅春园,清,,北京海淀区颐和园路5号,园林设计家,原址是明朝明神宗的外祖父李伟修建的“清华园”，人称“李园”,严谨求实，重视规划、设计与实践结合,畅春园，位于北京海淀区颐和园路5号，圆明园南，北京大学西，是北大“九大园林”之一。原址是明朝明神宗的外祖父李伟修建的“清华园”，人称“李园”。后来康熙将“清华园”改为“畅春园”，成为西郊第一所皇家园林。畅春园始建于清康熙二十三年（1684年）；康熙二十六年（1687），畅春园建…
雷家玺,清,1764年-1825年,江西建昌（今永修县）,建筑师,乾隆五十七年（1792年）主持承建万寿山、玉泉山、香山园庭工程及承德避暑山庄；后承办嘉庆帝昌陵工程，开创样式雷家族设计皇家陵寝的先河,严谨求实，重视规划、设计与实践结合,雷家玺（1764—1825），字国宝，江西建昌（今永修县）人，清代建筑师，样式雷家族第四代传人。担任样式房掌案，候选同知加五级享五品待遇。早年随乾隆帝下江南，因才华受赏识。乾隆五十七年（1792年）主持承建万寿山、玉泉山、香山园庭工程及承德避暑山庄。后承办嘉庆帝昌陵工程，开创样…
喻皓,五代末北宋初,生卒年不详（约10世纪）,浙江杭州,建筑工匠、建筑理论家,擅长建造高层木塔，建造开封开宝寺塔和杭州梵天寺塔；顺应自然风力设计塔身微倾以抵抗风力；著《木经》，中国第一部建筑专著,刻苦钻研，从贫苦木匠成长为建筑大师；顺应自然的智慧，以风力修正塔身倾斜；著书立说传承技艺,
刘秉忠,元,1216-1274年,河北邢台,政治家、城市规划师,规划元大都，奠定北京城市雏形；设计独特、规划科学、布局合理，中轴对称布局影响至今,高瞻远瞩的规划视野，元大都规划影响至今；科学严谨的设计方法，中轴对称布局合理有序,
徐杲,明,生卒年不详（约16世纪）,不详,木工大师、工部尚书,从贫苦木工做到二品工部尚书，在古代匠人中独一份；主持重建故宫三大殿，工期短质量高,凭借真才实学从底层匠人做到工部尚书；临危受命主持重建三大殿，工期短质量高,
郭安兴,北魏,生卒年不详（约6世纪）,不详,建筑师,建造北魏景明寺和永宁寺，以巨大体量和高度木结构建成，在中国乃至世界建筑史上都是奇迹,挑战建筑极限，建造超高层木结构建筑；追求建筑与技术的完美结合,
萧何,西汉,?-前193年,江苏丰县,政治家、建筑规划者,主持建造未央宫和建章宫，提出非壮丽无以重威的建筑思想；未央宫周长14千米，体现汉代建筑规划思想,非壮丽无以重威的建筑理念，以建筑彰显国家威严；远见卓识，为后世留下宏伟建筑遗产,
杨城延,西汉,生卒年不详（约前3世纪）,不详,建筑工程师,主持规划西汉长安城，负责未央宫和建章宫技术工作；开创汉代宫殿建筑技术体系,注重工程技术与艺术审美的统一；开创汉代宫殿建筑技术体系,
蒙恬,秦,?-前210年,山东蒙阴,军事家、长城修筑者,主持修筑秦长城，因地形用制险塞，工程浩大技术合理；修筑直道，沟通南北交通,因地形用制险塞，因地制宜的工程智慧；坚韧不拔的意志，完成浩大工程,
张志纯,元,生卒年不详（约13世纪）,山东泰安,建筑师,新建和重建泰山上数十座道教建筑群；设计监修南天门，建筑风格充满道家元素，与环境相融合,建筑与环境和谐统一的设计理念；道家自然思想融入建筑设计,
蔡襄,北宋,1012-1067年,福建仙游,政治家、桥梁建造者,主持建造洛阳桥（万安桥），首创筏形基础、种蛎固础和浮运悬机架桥三大技术；亲撰万安桥记,勇于创新，首创三大桥梁技术；亲力亲为，亲撰桥记记录工程细节；为民造福的担当精神,
姬旦（周公）,西周,?-约前1105年,陕西岐山,政治家、都城规划师,主持营造洛邑都城，体现卓越都城规划思想；任用弥牟为建造师，开创中国官方建筑师制度,高瞻远瞩的都城规划思想；礼制与建筑结合，开创中国官方建筑制度,
